Cliente,NombreArchivo,TamanioArchivo,Tiempo
51688,Cliente4.txt,68487388,4.085507869720459
51685,Cliente1.txt,68528348,4.107317209243774
51693,Cliente9.txt,69269724,4.1123740673065186
51687,Cliente3.txt,68827356,4.114369630813599
51692,Cliente7.txt,68151516,4.1153717041015625
51694,Cliente10.txt,69130460,4.124430894851685
51690,Cliente6.txt,68423680,4.126940727233887
51686,Cliente2.txt,69970140,4.132468223571777
51691,Cliente8.txt,70035676,4.149832010269165
51689,Cliente5.txt,70660096,4.151902675628662
