Cliente: 8, NombreArchivo: Cliente8.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.75380825996399
Cliente: 3, NombreArchivo: Cliente3.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.820628881454468
Cliente: 10, NombreArchivo: Cliente10.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.784725189208984
Cliente: 4, NombreArchivo: Cliente4.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.714912176132202
Cliente: 2, NombreArchivo: Cliente2.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.67233419418335
Cliente: 5, NombreArchivo: Cliente5.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.683227777481079
Cliente: 7, NombreArchivo: Cliente7.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.690089702606201
Cliente: 1, NombreArchivo: Cliente1.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.701874256134033
Cliente: 6, NombreArchivo: Cliente6.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.809657335281372
Cliente: 9, NombreArchivo: Cliente9.txt, TamanioArchivo: 202198627, Hash: 76542bd4451819f043fcf88e1efa943d, Entrega exitosa: True, Tiempo: 10.680173635482788
