Cliente: ('127.0.0.1', 37835), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.2497591972351074
Cliente: ('127.0.0.1', 59967), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.3653757572174072
Cliente: ('127.0.0.1', 51575), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.389758348464966
Cliente: ('127.0.0.1', 47216), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.3816161155700684
Cliente: ('127.0.0.1', 36335), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.3855268955230713
Cliente: ('127.0.0.1', 32973), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.3996376991271973
Cliente: ('127.0.0.1', 43990), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.389068603515625
Cliente: ('127.0.0.1', 48436), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.3942081928253174
Cliente: ('127.0.0.1', 47804), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.3931901454925537
Cliente: ('127.0.0.1', 56033), NombreArchivo: File100.zip, TamanioArchivo: 72832101, Tiempo: 2.407010555267334
