Cliente,NombreArchivo,TamanioArchivo,Tiempo
51688,File100.zip,101963996,4.079506158828735
51685,File100.zip,101963996,4.102794170379639
51693,File100.zip,101963996,4.102238178253174
51687,File100.zip,101963996,4.1123740673065186
51692,File100.zip,101963996,4.108860015869141
51694,File100.zip,101963996,4.116907119750977
51690,File100.zip,101963996,4.122919321060181
51686,File100.zip,101963996,4.1299543380737305
51691,File100.zip,101963996,4.144761323928833
51689,File100.zip,101963996,4.1468212604522705
