Cliente,NombreArchivo,TamanioArchivo,Hash,Entrega exitosa,Tiempo
58646,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.109416246414185
58637,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.106413841247559
58644,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.2100207805633545
58645,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.233598232269287
58638,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.232598543167114
58639,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.258235216140747
58640,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.261780023574829
58642,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.097187280654907
58643,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.004220008850098
58641,File100.zip,101963996,6793214f5f469d55ee4d8c02caae5b38,Me llego el archivo y el hash,4.173904657363892
