Cliente: 1, NombreArchivo: Cliente1.txt, TamanioArchivo: 62649445, Tiempo: 5.493015766143799
Cliente: 6, NombreArchivo: Cliente6.txt, TamanioArchivo: 63583333, Tiempo: 5.526036500930786
Cliente: 10, NombreArchivo: Cliente10.txt, TamanioArchivo: 63923301, Tiempo: 5.5571277141571045
Cliente: 24, NombreArchivo: Cliente24.txt, TamanioArchivo: 63239269, Tiempo: 5.559603214263916
Cliente: 15, NombreArchivo: Cliente15.txt, TamanioArchivo: 64193637, Tiempo: 5.587007999420166
Cliente: 8, NombreArchivo: Cliente8.txt, TamanioArchivo: 64328805, Tiempo: 5.592264652252197
Cliente: 3, NombreArchivo: Cliente3.txt, TamanioArchivo: 64480357, Tiempo: 5.5986692905426025
Cliente: 14, NombreArchivo: Cliente14.txt, TamanioArchivo: 64238693, Tiempo: 5.596696138381958
Cliente: 18, NombreArchivo: Cliente18.txt, TamanioArchivo: 64304229, Tiempo: 5.598533391952515
Cliente: 21, NombreArchivo: Cliente21.txt, TamanioArchivo: 64300133, Tiempo: 5.603222131729126
Cliente: 5, NombreArchivo: Cliente5.txt, TamanioArchivo: 64717925, Tiempo: 5.610230207443237
Cliente: 19, NombreArchivo: Cliente19.txt, TamanioArchivo: 64738405, Tiempo: 5.614548921585083
Cliente: 12, NombreArchivo: Cliente12.txt, TamanioArchivo: 65000549, Tiempo: 5.615360975265503
Cliente: 17, NombreArchivo: Cliente17.txt, TamanioArchivo: 64500837, Tiempo: 5.618459939956665
Cliente: 16, NombreArchivo: Cliente16.txt, TamanioArchivo: 64980069, Tiempo: 5.618460655212402
Cliente: 4, NombreArchivo: Cliente4.txt, TamanioArchivo: 63849573, Tiempo: 5.626845121383667
Cliente: 7, NombreArchivo: Cliente7.txt, TamanioArchivo: 64984165, Tiempo: 5.623636722564697
Cliente: 13, NombreArchivo: Cliente13.txt, TamanioArchivo: 64431205, Tiempo: 5.623395919799805
Cliente: 22, NombreArchivo: Cliente22.txt, TamanioArchivo: 65320037, Tiempo: 5.621239900588989
Cliente: 9, NombreArchivo: Cliente9.txt, TamanioArchivo: 64722021, Tiempo: 5.622105836868286
Cliente: 2, NombreArchivo: Cliente2.txt, TamanioArchivo: 64644197, Tiempo: 5.6287195682525635
